               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 127,              1.1828,              1.0327,              1.9699,             0.91942,             0.99101,               0.995,             0.74188,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                 128,              1.1891,              1.1508,              1.9694,             0.95578,             0.96555,               0.995,             0.74778,                   0,                   0,                   0,            0.005809,            0.005809,            0.005809
                 129,              1.2069,               1.142,              1.9741,             0.97903,             0.93928,             0.98722,             0.70503,                   0,                   0,                   0,            0.005776,            0.005776,            0.005776
                 130,              1.1801,              1.0914,              1.9597,             0.97874,             0.96464,               0.995,             0.72704,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                 131,              1.1673,              1.0136,              1.9102,              0.9789,             0.96181,             0.98722,             0.75247,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                 132,              1.1688,              1.0603,              1.9486,             0.96881,             0.96429,             0.98722,             0.76882,                   0,                   0,                   0,            0.005677,            0.005677,            0.005677
                 133,              1.1791,              1.0492,              1.9444,             0.96925,             0.89367,             0.98625,             0.74271,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                 134,              1.1621,              1.1309,               1.953,             0.96437,             0.93711,              0.9845,             0.71681,                   0,                   0,                   0,            0.005611,            0.005611,            0.005611
                 135,              1.1708,              1.0415,              1.9463,             0.96157,             0.94898,               0.995,             0.75282,                   0,                   0,                   0,            0.005578,            0.005578,            0.005578
                 136,              1.1537,              1.0053,              1.9106,             0.98014,             0.91415,             0.98722,             0.74782,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
